GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US09011,9011,"New London County, Connecticut",17.8,15.6,33.4
0500000US09013,9013,"Tolland County, Connecticut",22.4,17.6,40
0500000US09015,9015,"Windham County, Connecticut",15.1,9.2,24.3
0500000US10001,10001,"Kent County, Delaware",14.5,8.8,23.3
0500000US10003,10003,"New Castle County, Delaware",20.1,15.1,35.2
0500000US10005,10005,"Sussex County, Delaware",15.8,13,28.8
0500000US11001,11001,"District of Columbia, District of Columbia",23.9,33.4,57.3
0500000US12001,12001,"Alachua County, Florida",20.3,20.4,40.7
0500000US12005,12005,"Bay County, Florida",15.2,8.5,23.7
0500000US12009,12009,"Brevard County, Florida",18.4,11.6,30
0500000US12011,12011,"Broward County, Florida",20.5,12.2,32.7
0500000US12015,12015,"Charlotte County, Florida",15.5,8.1,23.6
0500000US12017,12017,"Citrus County, Florida",11.2,5.7,16.8
0500000US12019,12019,"Clay County, Florida",14.4,7.6,22
0500000US12021,12021,"Collier County, Florida",22.4,14.6,37
0500000US12023,12023,"Columbia County, Florida",13.2,4.3,17.5
0500000US12031,12031,"Duval County, Florida",19.9,9.6,29.4
0500000US12033,12033,"Escambia County, Florida",17.3,9.2,26.5
0500000US12035,12035,"Flagler County, Florida",15.7,9.3,25
0500000US12053,12053,"Hernando County, Florida",12.2,6.7,18.9
0500000US12055,12055,"Highlands County, Florida",11.1,6.8,17.8
0500000US12057,12057,"Hillsborough County, Florida",21.4,11.9,33.3
0500000US12061,12061,"Indian River County, Florida",19.3,11.1,30.4
0500000US12069,12069,"Lake County, Florida",15.3,9.2,24.6
0500000US12071,12071,"Lee County, Florida",16.9,10.4,27.3
0500000US12073,12073,"Leon County, Florida",25.9,21,46.9
0500000US12081,12081,"Manatee County, Florida",20,12,32
0500000US12083,12083,"Marion County, Florida",14.5,7.4,21.9
0500000US12085,12085,"Martin County, Florida",21.7,10,31.7
0500000US12086,12086,"Miami-Dade County, Florida",18.9,10.5,29.3
0500000US12087,12087,"Monroe County, Florida",21.7,11.7,33.5
0500000US12089,12089,"Nassau County, Florida",21.3,12.2,33.5
0500000US12091,12091,"Okaloosa County, Florida",19.8,11.5,31.3
0500000US12095,12095,"Orange County, Florida",22.8,11.2,34.1
0500000US12097,12097,"Osceola County, Florida",13.5,5.7,19.1
0500000US12099,12099,"Palm Beach County, Florida",22.4,13.8,36.2
0500000US12101,12101,"Pasco County, Florida",15.5,7.8,23.3
0500000US12103,12103,"Pinellas County, Florida",20.2,11.2,31.3
